Course_ID,Mini_Subject_ID
1,1
2,2
3,3
4,3
5,3
6,4
7,5
8,3
9,3
10,5
11,5
12,5
13,5
14,2
15,6
16,7
17,4
18,8
19,9
20,3
21,2
22,5
23,5
24,5
25,3
26,5
27,5
28,2
29,5
30,7
31,5
32,5
33,5
34,5
35,3
36,5
37,3
38,7
39,7
40,7
41,5
42,5
43,5
44,3
45,1
46,5
47,3
48,5
49,3
50,7
51,7
52,3
53,5
54,5
55,10
56,2
57,4
58,5
59,5
60,3
61,3
62,3
63,7
64,3
65,4
66,3
67,3
68,3
69,3
70,3
71,5
72,2
73,5
74,7
75,3
76,3
77,9
78,3
79,1
80,5
81,6
82,7
83,8
84,10
85,5
86,5
87,5
88,5
89,5
90,3
91,3
92,5
93,5
94,5
95,5
96,5
97,3
98,3
99,3
100,5
101,1
102,1
103,3
104,2
105,5
106,5
107,3
108,3
109,5
110,10
111,5
112,2
113,7
114,5
115,7
116,9
117,10
118,7
119,7
120,7
121,5
122,2
123,5
124,5
125,7
126,10
127,10
128,10
129,10
130,10
131,10
132,10
133,10
134,10
135,10
136,10
137,10
138,10
139,10
140,10
141,5
142,5
143,7
144,5
145,10
146,7
147,8
148,4
149,7
150,3
151,7
152,3
153,10
154,3
155,3
156,1
157,3
158,10
159,5
160,5
161,10
162,3
163,10
164,5
165,10
166,10
167,10
168,10
169,10
170,10
171,10
172,10
173,10
174,10
175,10
176,10
177,10
178,6
179,3
180,10
181,8
182,5
183,7
184,3
185,5
186,3
187,3
188,2
189,5
190,3
191,5
192,5
193,5
194,5
195,3
196,3
197,3
198,3
199,10
200,10
201,10
202,10
203,10
204,10
205,10
206,3
207,5
208,10
209,10
210,10
211,10
212,10
213,10
214,10
215,10
216,10
217,10
218,10
219,10
220,10
221,10
222,10
223,10
224,10
225,10
226,10
227,10
228,10
229,10
230,10
5747,10
231,10
232,10
233,10
234,7
235,1
236,8
237,7
238,3
239,2
240,1
241,5
242,8
243,10
244,3
245,10
246,10
247,10
248,10
249,10
250,7
251,10
252,10
253,3
254,9
255,4
256,5
257,3
258,5
259,3
260,10
261,5
262,5
263,10
264,10
265,10
266,10
267,10
268,7
269,7
270,3
271,2
272,2
273,7
274,5
275,3
276,3
277,5
278,7
279,3
280,3
281,8
282,1
283,3
284,2
285,5
286,3
287,3
288,5
289,2
290,3
291,3
292,1
293,7
294,5
295,3
296,7
297,2
298,10
299,1
300,1
301,5
302,1
303,5
304,2
305,3
306,5
307,7
308,10
309,5
310,7
311,7
312,7
313,7
314,3
315,5
316,8
317,1
318,7
319,5
320,10
321,7
322,5
323,10
324,5
325,1
326,3
327,4
328,3
329,1
330,8
331,3
332,1
333,3
334,7
335,9
336,2
337,4
338,7
339,7
340,4
341,6
342,7
343,9
344,3
345,3
346,3
347,3
348,3
349,3
350,4
351,3
352,4
353,5
354,6
355,3
356,5
357,4
358,10
359,8
360,5
361,3
362,1
363,1
364,3
365,3
366,5
367,6
368,8
369,5
370,4
371,7
372,7
373,8
374,4
375,7
376,4
377,8
378,3
379,5
380,3
381,5
382,2
383,9
384,9
385,9
386,9
387,9
388,9
389,9
390,2
391,4
392,3
393,5
394,6
395,2
396,10
397,5
398,5
399,1
400,3
401,5
402,5
403,1
404,8
405,1
406,5
407,2
408,2
409,3
410,4
411,9
412,5
413,5
414,5
415,5
416,5
417,5
418,7
419,5
420,5
421,3
422,4
423,7
424,7
425,7
426,9
427,5
428,5
429,6
430,9
431,10
7551,10
432,5
433,5
434,7
435,3
436,2
437,2
438,3
439,5
440,7
441,2
442,3
443,3
444,10
445,7
446,7
447,10
448,4
449,5
450,5
451,5
452,5
453,5
454,7
455,2
456,7
457,3
458,7
459,1
460,1
461,7
462,7
463,3
464,5
465,2
466,2
467,2
468,3
469,6
470,6
471,5
472,5
473,5
474,5
475,5
476,2
477,5
478,8
479,3
480,5
481,3
482,3
483,5
484,5
485,3
486,5
487,5
488,5
489,7
490,5
491,5
492,5
493,1
494,1
495,7
496,2
497,5
498,5
499,5
500,5
501,5
502,8
503,3
504,3
505,3
506,4
507,5
508,5
509,1
510,5
511,4
512,5
513,5
514,4
515,3
516,5
517,3
518,3
519,3
520,7
521,8
522,2
523,3
524,5
525,7
526,5
527,7
528,5
529,5
530,6
531,6
532,6
533,5
534,6
535,5
536,5
537,7
538,5
539,1
540,7
541,7
542,5
543,3
544,3
545,10
546,10
547,10
548,5
549,3
550,8
551,7
552,5
553,5
554,5
555,7
556,5
557,5
558,5
559,5
