Language,Language_ID
Afrikaans,1
Albanian,2
Arabic,3
Azeri,4
Bengali,5
Bulgarian,6
Burmese,7
Catalan,8
Croatian,9
Czech,10
Danish,11
Dutch,12
English,13
Estonian,14
Filipino,15
Finnish,16
French,17
Georgian,18
German,19
Greek,20
Hebrew,21
Hindi,22
Hungarian,23
Indonesian,24
Italian,25
Japanese,26
Korean,27
Lithuanian,28
Malay,29
Malayalam,30
Marathi,31
Persian,32
Polish,33
Portuguese,34
Romanian,35
Russian,36
Simplified Chinese,37
Slovak,38
Somali,39
Spanish,40
Swedish,41
Tamil,42
Telugu,43
Thai,44
Traditional Chinese,45
Turkish,46
Ukrainian,47
Urdu,48
Vietnamese,49
